rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,longitude,latitude,website,phoneNumber,city,country,state,region,yearFounded,stateCode,collegeType,carnegieClassification,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
1,Massachusetts Institute of Technology,MA,12195,Urban,173700,-71.093539,42.359006,http://web.mit.edu,617-253-1000,Cambridge,United States,Massachusetts,Northeast,1861,MA,Private not-for-profit,Doctoral Universities: Very High Research Activity,3,12195,4582,35299332,75,60
2,Stanford University,CA,20961,Suburban,173500,-122.168924,37.43137,http://www.stanford.edu,650-723-2091,Stanford,United States,California,West,1891,CA,Private not-for-profit,Doctoral Universities: Very High Research Activity,4,20961,8464,51328461,70,55
2,"University of California, Berkeley",CA,45878,Urban,154500,-122.258393,37.869236,http://www.berkeley.edu,(510) 642-6000,Berkeley,United States,California,West,1868,CA,Public,Doctoral Universities: Very High Research Activity,19,45878,33208,64495611,63,53
4,Princeton University,NJ,8532,Urban,167600,-74.659119,40.349855,http://www.princeton.edu,609-258-3000,Princeton,United States,New Jersey,Northeast,1746,NJ,Private not-for-profit,Doctoral Universities: Very High Research Activity,4,8532,5516,44871096,62,61
5,Columbia University,NY,33882,Urban,148800,-73.961288,40.806515,http://www.columbia.edu,212-854-1754,New York,United States,New York,Northeast,1754,NY,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,33882,8689,44615007,58,54
6,"University of California, Los Angeles",CA,46947,Urban,137200,-118.437855,34.073903,http://ucla.edu,310-825-4321,Los Angeles,United States,California,West,1919,CA,Public,Doctoral Universities: Very High Research Activity,18,46947,33641,61100980,73,67
7,Williams College,MA,2307,Rural,152600,-73.208078,42.712389,http://www.williams.edu,413-597-3131,Williamstown,United States,Massachusetts,Northeast,1793,MA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,6,2307,2251,15204855,62,52
8,Yale University,CT,14910,Urban,163700,-72.923425,41.314042,http://www.yale.edu,203-432-4771,New Haven,United States,Connecticut,Northeast,1701,CT,Private not-for-profit,Doctoral Universities: Very High Research Activity,4,14910,7199,48430359,61,53
9,Duke University,NC,17855,Urban,155000,-78.940277,36.001389,http://www.duke.edu,919-684-8111,Durham,United States,North Carolina,South,1924,NC,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,17855,7278,41087604,63,52
10,University of Pennsylvania,PA,30688,Urban,164000,-75.162369,39.95227,http://www.upenn.edu,(215) 898-5000,Philadelphia,United States,Pennsylvania,Northeast,1740,PA,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,30688,14202,59744979,57,47
11,Northwestern University,IL,25870,Urban,137200,-87.67874,42.04965,http://www.northwestern.edu,847-491-3741,Evanston,United States,Illinois,Midwest,1851,IL,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,25870,9827,61176584,66,61
