"Topic.1","Topic.2","Topic.3"
2740945,885089,0
2898525,1068541,0
3304732,1311247,0
3350912,1237879,0
3916758,1345387,0
4092374,1315829,0
4101242,1349221,42
4035483,1313649,9272
4225767,1431298,42196
4294257,1505037,175017
4345010,1476838,645416
4904173,1673024,2576374
4870539,1755301,13500356
4825935,1907981,25574387
5309952,2029869,36544240
4883323,1868802,36359248
5407205,2272229,38816640
5133939,2337846,36689437
5182521,2515166,40199817
4939428,2253284,41297364
5142661,2283973,41043941
5031394,2344233,37719422
4903214,2419203,35597632
5196471,2412537,35630246
5155360,2426704,33245886
